"user_id","activity_date","product_group","dollar_purchase_value","purchase_number"
69870,2024-11-29,"Promotion",4.99,4
95273,2024-12-08,"Promotion",4.99,1
82825,2024-10-18,"Gold",4.99,4
73163,2024-10-15,"Gold",9.99,6
73163,2024-11-16,"Gold",9.99,22
75408,2024-12-11,"Remove Ads",4.99,7
79387,2024-10-15,"Gold",9.99,5
79387,2024-11-25,"Gold",4.99,41
78223,2024-11-13,"Remove Ads",4.99,5
83094,2024-11-27,"Promotion",4.99,8
84745,2024-12-02,"Gold",4.99,20
82344,2024-11-17,"Remove Ads",4.99,3
85898,2024-11-08,"Gold",19.99,16
82672,2024-12-16,"Gold",4.99,30
87357,2024-11-12,"Promotion",4.99,5
81718,2024-10-10,"Gold",4.99,19
81718,2024-10-18,"Gold",4.99,32
70116,2024-12-13,"Promotion",4.99,14
75748,2024-11-25,"Remove Ads",4.99,9
87237,2024-12-31,"Gold",9.99,27
87802,2024-10-12,"Promotion",4.99,1
80751,2024-12-08,"Promotion",9.99,6
70218,2024-11-25,"Promotion",4.99,30
93474,2024-10-23,"Remove Ads",4.99,3
95254,2024-11-03,"Promotion",9.99,9
73730,2024-12-29,"Gold",4.99,1
79597,2024-12-13,"Promotion",9.99,14
79597,2024-12-17,"Promotion",9.99,15
83216,2024-11-17,"Promotion",4.99,1
87458,2024-12-22,"Gold",4.99,1
93465,2024-12-03,"Promotion",4.99,20
75799,2024-12-12,"Promotion",9.99,28
92451,2024-11-07,"Gold",4.99,18
70404,2024-11-17,"Promotion",6.99,26
81538,2024-11-11,"Gold",4.99,7
77692,2024-11-10,"Remove Ads",4.99,1
91409,2024-12-23,"Promotion",4.99,2
87552,2024-11-01,"Remove Ads",4.99,1
96978,2024-10-25,"Promotion",4.99,1
69508,2024-11-10,"Gold",9.99,4
75620,2024-12-24,"Promotion",4.99,10
81402,2024-10-23,"Gold",4.99,1
85139,2024-12-29,"Remove Ads",4.99,5
93564,2024-11-26,"Gold",4.99,1
96121,2024-12-23,"Gold",4.99,3
77802,2024-11-08,"Promotion",6.99,23
72306,2024-11-01,"Gold",4.99,7
75471,2024-10-26,"Gold",9.99,27
94104,2024-10-15,"Promotion",9.99,10
78708,2024-12-07,"Gold",4.99,1
89389,2024-11-17,"Gold",29.99,3
93876,2024-12-07,"Promotion",6.99,25
97469,2024-11-08,"Remove Ads",4.99,2
77602,2024-12-11,"Promotion",4.99,4
76230,2024-10-06,"Gold",4.99,1
83405,2024-12-26,"Promotion",4.99,17
93638,2024-11-10,"Gold",4.99,16
83877,2024-10-24,"Gold",4.99,34
84531,2024-12-20,"Promotion",4.99,16
79583,2024-10-31,"Gold",4.99,23
79583,2024-11-12,"Gold",4.99,67
79583,2024-11-30,"Promotion",9.99,123
78877,2024-12-04,"Gold",4.99,12
81239,2024-12-26,"Gold",4.99,6
95771,2024-11-19,"Gold",9.99,4
96035,2024-10-30,"Remove Ads",4.99,1
75177,2024-10-23,"Gold",9.99,27
72233,2024-11-09,"Gold",4.99,1
78393,2024-10-24,"Gold",9.99,2
73788,2024-12-29,"Remove Ads",4.99,17
86262,2024-11-16,"Remove Ads",4.99,16
88746,2024-12-26,"Gold",4.99,6
84666,2024-12-19,"Gold",9.99,1
83628,2024-10-25,"Gold",9.99,30
83628,2024-11-18,"Gold",4.99,47
84635,2024-12-27,"Gold",4.99,1
69847,2024-11-08,"Gold",4.99,6
88775,2024-10-14,"Promotion",9.99,10
85244,2024-11-15,"Gold",19.99,14
85244,2024-11-21,"Remove Ads",4.99,16
79505,2024-11-03,"Gold",4.99,5
83703,2024-12-21,"Gold",4.99,3
95567,2024-10-25,"Gold",9.99,3
83990,2024-11-18,"Promotion",9.99,3
82919,2024-12-20,"Promotion",9.99,3
80251,2024-12-20,"Promotion",4.99,20
82776,2024-10-15,"Gold",4.99,1
88496,2024-12-14,"Gold",4.99,1
90756,2024-12-26,"Gold",19.99,25
83094,2024-11-17,"Remove Ads",4.99,4
89479,2024-11-08,"Promotion",4.99,8
92545,2024-10-30,"Gold",9.99,1
72109,2024-11-12,"Promotion",4.99,4
81718,2024-10-18,"Promotion",4.99,28
69814,2024-12-10,"Gold",4.99,2
93282,2024-10-02,"Promotion",4.99,1
70333,2024-12-15,"Promotion",4.99,2
86063,2024-10-27,"Promotion",4.99,16
77778,2024-10-27,"Gold",4.99,1
86930,2024-12-11,"Promotion",4.99,5
97021,2024-11-06,"Promotion",4.99,3
71404,2024-12-06,"Gold",4.99,23
75799,2024-11-14,"Gold",4.99,3
86043,2024-12-31,"Promotion",4.99,3
84314,2024-12-23,"Gold",9.99,7
92159,2024-11-23,"Promotion",4.99,1
80904,2024-10-30,"Gold",19.99,4
81567,2024-12-26,"Gold",4.99,15
87891,2024-11-10,"Promotion",9.99,8
72240,2024-10-14,"Gold",19.99,20
72240,2024-10-14,"Gold",9.99,21
72240,2024-11-10,"Remove Ads",4.99,32
74765,2024-12-27,"Remove Ads",4.99,11
81155,2024-12-24,"Promotion",9.99,1
79597,2024-12-12,"Promotion",9.99,13
88961,2024-11-19,"Remove Ads",4.99,2
71225,2024-10-09,"Gold",4.99,1
72046,2024-11-14,"Gold",4.99,8
71776,2024-11-23,"Promotion",6.99,18
87459,2024-12-27,"Gold",9.99,4
74431,2024-12-27,"Gold",29.99,3
93802,2024-12-06,"Gold",4.99,8
76146,2024-11-03,"Gold",29.99,5
86712,2024-12-14,"Gold",4.99,1
75623,2024-10-08,"Promotion",4.99,2
76109,2024-10-30,"Gold",4.99,4
81891,2024-10-09,"Promotion",9.99,2
83806,2024-12-03,"Gold",4.99,1
76076,2024-11-25,"Gold",9.99,26
76076,2024-12-04,"Gold",4.99,32
