"user_id","activity_date","product_group","n_purchases","gold_spend"
76031,2024-12-05,"Weapon",1,2923
88065,2024-12-05,"Weapon",2,24
92892,2024-12-05,"Boost",2,130
92515,2024-12-05,"Boost",1,30
70286,2024-12-30,"Weapon",1,3383
75603,2024-12-30,"Boost",1,154
96789,2024-12-30,"Boost",1,979
83104,2024-12-30,"Weapon",1,24
93188,2024-12-30,"Weapon",1,597
69955,2024-10-27,"Weapon",1,10
72109,2024-10-29,"Weapon",1,15
87610,2024-10-29,"Weapon",1,10
70311,2024-10-29,"Boost",1,1400
97122,2024-11-24,"Boost",1,5
74514,2024-11-24,"Weapon",1,9
90831,2024-10-11,"Weapon",2,32
81925,2024-10-11,"Weapon",3,304
78459,2024-10-11,"Boost",1,105
87564,2024-10-21,"Weapon",4,2030
81347,2024-10-21,"Boost",1,1500
97175,2024-12-20,"Weapon",1,1584
85352,2024-12-20,"Weapon",1,128
84428,2024-12-20,"Weapon",1,588
81821,2024-12-20,"Weapon",11,4905
70066,2024-12-20,"Weapon",1,20
95684,2024-11-04,"Boost",2,480
76960,2024-11-04,"Weapon",2,468
88077,2024-11-04,"Boost",2,336
81041,2024-11-04,"Boost",1,200
84230,2024-11-08,"Weapon",2,112
88260,2024-11-08,"Weapon",1,10
80251,2024-10-23,"Weapon",1,165
79095,2024-10-30,"Boost",1,2370
93255,2024-10-30,"Weapon",1,2587
87775,2024-10-30,"Weapon",8,800
86536,2024-12-13,"Boost",2,710
70333,2024-12-13,"Weapon",1,69
73723,2024-12-13,"Gear",1,62700
72946,2024-12-13,"Gear",1,55000
70570,2024-12-23,"Weapon",1,26
70800,2024-12-23,"Boost",3,390
84775,2024-12-23,"Weapon",3,160
86409,2024-12-23,"Weapon",3,1995
87889,2024-12-23,"Boost",2,4
90905,2024-12-29,"Weapon",2,176
92682,2024-12-29,"Boost",3,28
81567,2024-12-26,"Boost",10,24233
92772,2024-12-26,"Weapon",2,144
85989,2024-12-26,"Boost",1,144
96123,2024-12-26,"Boost",1,225
88712,2024-11-20,"Weapon",3,198
96009,2024-11-20,"Weapon",1,1100
76031,2024-11-20,"Weapon",1,800
74743,2024-12-04,"Weapon",4,352
94346,2024-12-04,"Weapon",1,600
87995,2024-10-06,"Boost",1,55
89132,2024-11-19,"Weapon",1,4400
87132,2024-11-19,"Boost",1,35
93321,2024-12-01,"Weapon",1,3184
90262,2024-12-01,"Weapon",3,77
81718,2024-12-01,"Weapon",8,55062
96470,2024-10-14,"Weapon",1,378
85408,2024-10-14,"Boost",1,297
69356,2024-10-14,"Boost",3,207
80761,2024-10-31,"Weapon",3,7940
83630,2024-10-31,"Boost",1,18
80751,2024-12-10,"Gear",2,64386
78486,2024-12-10,"Weapon",2,130
92137,2024-12-10,"Boost",2,306
88525,2024-12-10,"Boost",2,22
92716,2024-12-10,"Boost",1,250
92225,2024-11-06,"Boost",2,120
70515,2024-11-22,"Weapon",2,33
96190,2024-11-22,"Boost",1,135
77691,2024-11-22,"Boost",2,77
76014,2024-11-10,"Weapon",3,56
81752,2024-11-10,"Weapon",1,99
93865,2024-11-18,"Weapon",3,651
90185,2024-11-18,"Boost",1,175
73790,2024-11-18,"Weapon",5,1313
69788,2024-10-20,"Weapon",7,756
80251,2024-10-20,"Weapon",2,13156
81569,2024-10-20,"Boost",1,2772
72988,2024-10-07,"Boost",1,150
95444,2024-10-07,"Boost",1,15
84555,2024-10-02,"Boost",1,253
77021,2024-10-02,"Boost",1,735
79597,2024-12-02,"Weapon",2,1200
84492,2024-12-02,"Boost",2,180
71671,2024-12-08,"Boost",1,75
80077,2024-12-08,"Boost",1,1744
73396,2024-12-08,"Weapon",1,72
96927,2024-12-08,"Weapon",1,98
91501,2024-12-08,"Weapon",2,1015
86036,2024-12-27,"Weapon",1,1300
90403,2024-12-27,"Boost",2,26
82756,2024-10-25,"Weapon",1,1100
85205,2024-10-25,"Weapon",1,8
70515,2024-10-25,"Boost",3,54
71277,2024-11-25,"Boost",14,2913
93309,2024-11-25,"Boost",2,25
76250,2024-12-17,"Boost",3,272
95550,2024-12-17,"Boost",2,340
75399,2024-12-24,"Weapon",2,36
82619,2024-12-24,"Weapon",4,154
78000,2024-12-24,"Boost",1,24
93440,2024-12-24,"Boost",2,76
84230,2024-11-07,"Weapon",3,620
92082,2024-11-07,"Weapon",2,20
75914,2024-11-07,"Weapon",1,5
72830,2024-11-11,"Weapon",1,2392
81511,2024-11-11,"Boost",2,4000
96888,2024-11-11,"Boost",2,135
93152,2024-11-02,"Boost",3,204
88382,2024-11-02,"Boost",5,342
84130,2024-11-02,"Boost",1,256
